,left_gaze_point,right_gaze_point,time_stamp
154,"(-182.6608123779297, 300.11285400390625, 9.100000381469727)","(-203.05795288085938, 312.9855651855469, 9.100000381469727)",1167631296198978
155,"(-181.62380981445312, 300.34619140625, 9.100000381469727)","(-201.89222717285156, 314.7872314453125, 9.100000381469727)",1167631296230251
156,"(-182.25363159179688, 299.8166809082031, 9.100000381469727)","(-201.84519958496094, 315.15899658203125, 9.100000381469727)",1167631296261927
157,"(-179.56614685058594, 299.6954040527344, 9.100000381469727)","(-203.6121826171875, 315.4141845703125, 9.100000381469727)",1167631296292819
158,"(-180.46978759765625, 300.6999816894531, 9.100000381469727)","(-200.81842041015625, 316.525634765625, 9.100000381469727)",1167631296323508
159,"(-180.67031860351562, 300.20196533203125, 9.100000381469727)","(-202.5490264892578, 316.5922546386719, 9.100000381469727)",1167631296353823
160,"(-177.6295166015625, 298.96044921875, 9.100000381469727)","(-197.9991455078125, 314.9097595214844, 9.100000381469727)",1167631296384102
161,"(-181.08163452148438, 298.8731384277344, 9.100000381469727)","(-200.5970916748047, 315.6622314453125, 9.100000381469727)",1167631296416401
162,"(-179.28016662597656, 300.09197998046875, 9.100000381469727)","(-203.16024780273438, 314.1641540527344, 9.100000381469727)",1167631296448068
163,"(-173.3200225830078, 300.270263671875, 9.100000381469727)","(-195.5969696044922, 314.93597412109375, 9.100000381469727)",1167631296479638
164,"(-174.84326171875, 299.94476318359375, 9.100000381469727)","(-195.50286865234375, 315.85028076171875, 9.100000381469727)",1167631296510170
165,"(-173.96951293945312, 300.8256530761719, 9.100000381469727)","(-195.86463928222656, 315.1647644042969, 9.100000381469727)",1167631296540822
166,"(-174.3480682373047, 299.7350158691406, 9.100000381469727)","(-194.04086303710938, 313.2671203613281, 9.100000381469727)",1167631296571064
167,"(-175.1300811767578, 303.0120544433594, 9.100000381469727)","(-194.9342498779297, 313.7003479003906, 9.100000381469727)",1167631296603297
168,"(-176.01620483398438, 302.8470458984375, 9.100000381469727)","(nan, nan, nan)",1167631296633664
169,"(-175.64498901367188, 301.2744140625, 9.100000381469727)","(-197.6414031982422, 316.1542053222656, 9.100000381469727)",1167631296663774
170,"(-175.7563018798828, 301.2857360839844, 9.100000381469727)","(nan, nan, nan)",1167631296692525
171,"(-175.3846435546875, 301.66357421875, 9.100000381469727)","(-196.51107788085938, 315.8846740722656, 9.100000381469727)",1167631296722782
172,"(-175.24130249023438, 304.212158203125, 9.100000381469727)","(nan, nan, nan)",1167631296750925
173,"(-176.34054565429688, 299.61328125, 9.100000381469727)","(-195.84201049804688, 318.5071105957031, 9.100000381469727)",1167631296781128
174,"(-176.27230834960938, 302.0301513671875, 9.100000381469727)","(-195.09872436523438, 318.3481140136719, 9.100000381469727)",1167631296809188
175,"(-176.78765869140625, 303.21136474609375, 9.100000381469727)","(-197.1145477294922, 317.55078125, 9.100000381469727)",1167631296839527
176,"(-164.57296752929688, 301.0225830078125, 9.100000381469727)","(-179.77845764160156, 318.7431945800781, 9.100000381469727)",1167631296869593
177,"(-158.83995056152344, 300.5778503417969, 9.100000381469727)","(-178.8917999267578, 308.8075256347656, 9.100000381469727)",1167631296899954
178,"(-161.582275390625, 302.6258850097656, 9.100000381469727)","(-176.5959930419922, 310.0362548828125, 9.100000381469727)",1167631296930506
179,"(-159.91812133789062, 299.4535827636719, 9.100000381469727)","(-175.43365478515625, 310.3336181640625, 9.100000381469727)",1167631296959562
180,"(-160.10862731933594, 299.5051574707031, 9.100000381469727)","(-177.13967895507812, 311.14794921875, 9.100000381469727)",1167631296988808
181,"(-160.2716064453125, 301.56597900390625, 9.100000381469727)","(-176.87171936035156, 311.4590759277344, 9.100000381469727)",1167631297017871
182,"(nan, nan, nan)","(-176.96871948242188, 311.00006103515625, 9.100000381469727)",1167631297047463
183,"(-151.15399169921875, 298.4251708984375, 9.100000381469727)","(-165.95736694335938, 309.241455078125, 9.100000381469727)",1167631297077322
184,"(-149.2123260498047, 301.2729187011719, 9.100000381469727)","(nan, nan, nan)",1167631297106323
185,"(-148.13153076171875, 300.7660217285156, 9.100000381469727)","(nan, nan, nan)",1167631297138678
186,"(-149.671142578125, 301.0616455078125, 9.100000381469727)","(nan, nan, nan)",1167631297163773
187,"(-148.5714874267578, 298.5674743652344, 9.100000381469727)","(nan, nan, nan)",1167631297188817
188,"(-148.4741973876953, 302.90228271484375, 9.100000381469727)","(nan, nan, nan)",1167631297213872
189,"(-153.42633056640625, 300.2010803222656, 9.100000381469727)","(nan, nan, nan)",1167631297239116
190,"(-159.5466766357422, 300.9150390625, 9.100000381469727)","(-174.6107635498047, 310.1042175292969, 9.100000381469727)",1167631297264285
191,"(-157.37847900390625, 299.04302978515625, 9.100000381469727)","(-174.53233337402344, 307.52734375, 9.100000381469727)",1167631297289579
192,"(-156.1835479736328, 301.6735534667969, 9.100000381469727)","(nan, nan, nan)",1167631297316235
193,"(-158.44383239746094, 296.55865478515625, 9.100000381469727)","(-175.69309997558594, 313.19110107421875, 9.100000381469727)",1167631297347627
194,"(nan, nan, nan)","(-181.22010803222656, 269.9959716796875, 9.100000381469727)",1167631297372640
195,"(nan, nan, nan)","(nan, nan, nan)",1167631297399826
196,"(-33.60712814331055, 48.49292755126953, 9.100000381469727)","(nan, nan, nan)",1167631297426759
197,"(-35.80873107910156, 38.32918167114258, 9.100000381469727)","(nan, nan, nan)",1167631297451867
198,"(nan, nan, nan)","(nan, nan, nan)",1167631297477858
199,"(nan, nan, nan)","(nan, nan, nan)",1167631297502910
200,"(-154.1603546142578, 264.9768981933594, 9.100000381469727)","(nan, nan, nan)",1167631297528712
201,"(-152.97653198242188, 288.48828125, 9.100000381469727)","(-169.6984100341797, 313.6474304199219, 9.100000381469727)",1167631297554318
202,"(nan, nan, nan)","(nan, nan, nan)",1167631297578063
203,"(-147.02328491210938, 298.5499267578125, 9.100000381469727)","(-222.46632385253906, 362.0415954589844, 9.100000381469727)",1167631297606096
204,"(-147.6764373779297, 296.7784423828125, 9.100000381469727)","(-165.11085510253906, 308.1331481933594, 9.100000381469727)",1167631297632775
205,"(-150.1455841064453, 300.2275085449219, 9.100000381469727)","(-162.75059509277344, 306.7431640625, 9.100000381469727)",1167631297663943
206,"(-149.169677734375, 297.9158935546875, 9.100000381469727)","(-160.43667602539062, 306.9051513671875, 9.100000381469727)",1167631297693984
207,"(-147.23837280273438, 298.86297607421875, 9.100000381469727)","(nan, nan, nan)",1167631297724826
208,"(-154.85279846191406, 303.2401123046875, 9.100000381469727)","(nan, nan, nan)",1167631297755706
209,"(-153.18338012695312, 304.0916442871094, 9.100000381469727)","(-170.36351013183594, 314.0111999511719, 9.100000381469727)",1167631297780798
210,"(-155.0721435546875, 303.0959167480469, 9.100000381469727)","(-172.65052795410156, 311.4024963378906, 9.100000381469727)",1167631297805871
211,"(-153.20701599121094, 302.73223876953125, 9.100000381469727)","(-172.03529357910156, 312.71112060546875, 9.100000381469727)",1167631297832779
212,"(-154.41648864746094, 305.7179870605469, 9.100000381469727)","(-169.6116485595703, 315.4188232421875, 9.100000381469727)",1167631297864002
213,"(-137.57029724121094, 304.26690673828125, 9.100000381469727)","(-155.5635528564453, 309.031982421875, 9.100000381469727)",1167631297895160
214,"(-131.77224731445312, 302.30303955078125, 9.100000381469727)","(-148.3354949951172, 310.68756103515625, 9.100000381469727)",1167631297926777
215,"(-132.2488555908203, 300.43682861328125, 9.100000381469727)","(-147.35287475585938, 310.0975646972656, 9.100000381469727)",1167631297957956
216,"(-132.7224884033203, 301.92303466796875, 9.100000381469727)","(-148.08145141601562, 307.9623107910156, 9.100000381469727)",1167631297990607
217,"(-133.02133178710938, 300.9116516113281, 9.100000381469727)","(-150.4243621826172, 306.3929443359375, 9.100000381469727)",1167631298021993
218,"(-131.67869567871094, 299.86865234375, 9.100000381469727)","(-150.60104370117188, 312.13525390625, 9.100000381469727)",1167631298053932
219,"(-132.50875854492188, 296.937744140625, 9.100000381469727)","(-150.8809356689453, 310.9909973144531, 9.100000381469727)",1167631298085228
220,"(-131.82949829101562, 298.4145812988281, 9.100000381469727)","(-149.25888061523438, 310.16015625, 9.100000381469727)",1167631298117901
221,"(-111.26177978515625, 301.4669189453125, 9.100000381469727)","(-128.28579711914062, 308.2483825683594, 9.100000381469727)",1167631298150335
222,"(-116.44190216064453, 302.33404541015625, 9.100000381469727)","(-131.5059356689453, 306.7445983886719, 9.100000381469727)",1167631298182284
223,"(-117.4411849975586, 301.9860534667969, 9.100000381469727)","(-131.91883850097656, 305.87823486328125, 9.100000381469727)",1167631298213998
224,"(-116.7898178100586, 300.57965087890625, 9.100000381469727)","(-129.892822265625, 307.57623291015625, 9.100000381469727)",1167631298245735
225,"(-114.67646026611328, 301.7821960449219, 9.100000381469727)","(-134.64739990234375, 309.5273742675781, 9.100000381469727)",1167631298277171
226,"(-118.07447814941406, 303.9854431152344, 9.100000381469727)","(-133.95916748046875, 307.6375427246094, 9.100000381469727)",1167631298308553
